City,Provinsi,Cabang,Alamat
Jakarta Selatan,DKI Jakarta,KCP Pondok Labu,"Jl. R.S. Fatmawati No. 8 ,  Pondok Labu  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Pondok Pinang Center,"Pertokoan Pondok Pinang Center Blok A 36/38/40,  Jl. Ciputat Raya  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Puncak Emas,"Jl. Jend. Sudirman Kav. 61-62  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP R.S. Jakarta,"Jl. Jend. Sudirman Kav. 49  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP R.S. Pusat Pertamina,"Jl. Kyai Maja No. 43,  Kebayoran Baru  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Radio Dalam,"Jl. Radio Dalam Raya No.11-11A  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Ragunan,"Gedung D, KP Departemen Pertanian,  Jl. Harsono RM No.3,   Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Rasuna Said,"Gedung Enterprise,  Jl. H.R. Rasuna Said Kav. C-5  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Saharjo,"Komplek Gajah Unit F & G,  Jl. Dr. Saharjo No. 111  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Simatupang,"Gedung Ratu Prabu 2,  Jl. Letjend. TB Simatupang Kav.20  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Simprug,"Simprug Gallery Blok B,  Jl. Teuku Nyak Arief No. 10  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Tebet Barat,"Jl. Tebet Barat IX No.26,  Tebet  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Tebet Timur,"Jl. Tebet Timur Dalam Raya N0. 115  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Tendean,"Jl. Wolter Monginsidi No. 123 C  Jakarta Selatan, JK"
Jakarta Selatan,DKI Jakarta,KCP Universitas Pancasila,"Jl. Raya Lenteng Agung,  Srengseng Sawah  Jakarta Selatan, JK"
